Month,Day,measurement,reading
7,28,Ozone,82
7,29,Ozone,50
7,30,Ozone,64
7,31,Ozone,59
8,1,Ozone,39
8,2,Ozone,9
8,3,Ozone,16
8,4,Ozone,78
8,5,Ozone,35
8,6,Ozone,66
8,7,Ozone,122
8,8,Ozone,89
8,9,Ozone,110
8,10,Ozone,NaN
8,11,Ozone,NaN
8,12,Ozone,44
8,13,Ozone,28
8,14,Ozone,65
8,15,Ozone,NaN
8,16,Ozone,22
8,17,Ozone,59
8,18,Ozone,23
8,19,Ozone,31
8,20,Ozone,44
8,21,Ozone,21
8,22,Ozone,9
8,23,Ozone,NaN
8,24,Ozone,45
8,25,Ozone,168
8,26,Ozone,73
8,27,Ozone,NaN
8,28,Ozone,76
8,29,Ozone,118
8,30,Ozone,84
8,31,Ozone,85
9,1,Ozone,96
9,2,Ozone,78
9,3,Ozone,73
9,4,Ozone,91
9,5,Ozone,47
9,6,Ozone,32
9,7,Ozone,20
9,8,Ozone,23
9,9,Ozone,21
9,10,Ozone,24
9,11,Ozone,44
9,12,Ozone,21
9,13,Ozone,28
9,14,Ozone,9
9,15,Ozone,13
9,16,Ozone,46
9,17,Ozone,18
9,18,Ozone,13
9,19,Ozone,24
9,20,Ozone,16
9,21,Ozone,13
9,22,Ozone,23
9,23,Ozone,36
9,24,Ozone,7
9,25,Ozone,14
9,26,Ozone,30
9,27,Ozone,NaN
9,28,Ozone,14
9,29,Ozone,18
9,30,Ozone,20
5,1,Solar.R,190
5,2,Solar.R,118
5,3,Solar.R,149
5,4,Solar.R,313
5,5,Solar.R,NaN
5,6,Solar.R,NaN
5,7,Solar.R,299
5,8,Solar.R,99
5,9,Solar.R,19
5,10,Solar.R,194
5,11,Solar.R,NaN
5,12,Solar.R,256
5,13,Solar.R,290
5,14,Solar.R,274
5,15,Solar.R,65
5,16,Solar.R,334
5,17,Solar.R,307
5,18,Solar.R,78
5,19,Solar.R,322
5,20,Solar.R,44
5,21,Solar.R,8
5,22,Solar.R,320
5,23,Solar.R,25
5,24,Solar.R,92
5,25,Solar.R,66
5,26,Solar.R,266
5,27,Solar.R,NaN
5,28,Solar.R,13
5,29,Solar.R,252
5,30,Solar.R,223
5,31,Solar.R,279
6,1,Solar.R,286
6,2,Solar.R,287
6,3,Solar.R,242
6,4,Solar.R,186
6,5,Solar.R,220
6,6,Solar.R,264
6,7,Solar.R,127
6,8,Solar.R,273
6,9,Solar.R,291
6,10,Solar.R,323
6,11,Solar.R,259
6,12,Solar.R,250
6,13,Solar.R,148
6,14,Solar.R,332
6,15,Solar.R,322
6,16,Solar.R,191
6,17,Solar.R,284
6,18,Solar.R,37
6,19,Solar.R,120
6,20,Solar.R,137
6,21,Solar.R,150
6,22,Solar.R,59
6,23,Solar.R,91
6,24,Solar.R,250
6,25,Solar.R,135
6,26,Solar.R,127
6,27,Solar.R,47
6,28,Solar.R,98
6,29,Solar.R,31
6,30,Solar.R,138
7,1,Solar.R,269
7,2,Solar.R,248
7,3,Solar.R,236
7,4,Solar.R,101
7,5,Solar.R,175
7,6,Solar.R,314
7,7,Solar.R,276
7,8,Solar.R,267
7,9,Solar.R,272
7,10,Solar.R,175
7,11,Solar.R,139
7,12,Solar.R,264
7,13,Solar.R,175
7,14,Solar.R,291
7,15,Solar.R,48
7,16,Solar.R,260
7,17,Solar.R,274
7,18,Solar.R,285
7,19,Solar.R,187
7,20,Solar.R,220
7,21,Solar.R,7
7,22,Solar.R,258
7,23,Solar.R,295
7,24,Solar.R,294
7,25,Solar.R,223
7,26,Solar.R,81
7,27,Solar.R,82
7,28,Solar.R,213
7,29,Solar.R,275
7,30,Solar.R,253
7,31,Solar.R,254
8,1,Solar.R,83
8,2,Solar.R,24
8,3,Solar.R,77
8,4,Solar.R,NaN
8,5,Solar.R,NaN
8,6,Solar.R,NaN
8,7,Solar.R,255
8,8,Solar.R,229
8,9,Solar.R,207
8,10,Solar.R,222
8,11,Solar.R,137
8,12,Solar.R,192
8,13,Solar.R,273
8,14,Solar.R,157
8,15,Solar.R,64
8,16,Solar.R,71
8,17,Solar.R,51
8,18,Solar.R,115
8,19,Solar.R,244
8,20,Solar.R,190
8,21,Solar.R,259
8,22,Solar.R,36
8,23,Solar.R,255
8,24,Solar.R,212
8,25,Solar.R,238
8,26,Solar.R,215
8,27,Solar.R,153
8,28,Solar.R,203
8,29,Solar.R,225
8,30,Solar.R,237
8,31,Solar.R,188
9,1,Solar.R,167
9,2,Solar.R,197
9,3,Solar.R,183
9,4,Solar.R,189
9,5,Solar.R,95
9,6,Solar.R,92
9,7,Solar.R,252
9,8,Solar.R,220
9,9,Solar.R,230
9,10,Solar.R,259
9,11,Solar.R,236
9,12,Solar.R,259
9,13,Solar.R,238
9,14,Solar.R,24
9,15,Solar.R,112
9,16,Solar.R,237
9,17,Solar.R,224
9,18,Solar.R,27
9,19,Solar.R,238
9,20,Solar.R,201
9,21,Solar.R,238
9,22,Solar.R,14
9,23,Solar.R,139
9,24,Solar.R,49
9,25,Solar.R,20
9,26,Solar.R,193
9,27,Solar.R,145
9,28,Solar.R,191
9,29,Solar.R,131
9,30,Solar.R,223
5,1,Wind,7.4
5,2,Wind,8
5,3,Wind,12.6
5,4,Wind,11.5
5,5,Wind,14.3
5,6,Wind,14.9
5,7,Wind,8.6
5,8,Wind,13.8
5,9,Wind,20.1
5,10,Wind,8.6
5,11,Wind,6.9
5,12,Wind,9.7
5,13,Wind,9.2
5,14,Wind,10.9
5,15,Wind,13.2
5,16,Wind,11.5
5,17,Wind,12
5,18,Wind,18.4
5,19,Wind,11.5
5,20,Wind,9.7
5,21,Wind,9.7
5,22,Wind,16.6
5,23,Wind,9.7
5,24,Wind,12
5,25,Wind,16.6
5,26,Wind,14.9
5,27,Wind,8
5,28,Wind,12
5,29,Wind,14.9
5,30,Wind,5.7
5,31,Wind,7.4
6,1,Wind,8.6
6,2,Wind,9.7
6,3,Wind,16.1
6,4,Wind,9.2
6,5,Wind,8.6
6,6,Wind,14.3
6,7,Wind,9.7
6,8,Wind,6.9
6,9,Wind,13.8
6,10,Wind,11.5
6,11,Wind,10.9
6,12,Wind,9.2
6,13,Wind,8
6,14,Wind,13.8
6,15,Wind,11.5
6,16,Wind,14.9
6,17,Wind,20.7
6,18,Wind,9.2
6,19,Wind,11.5
6,20,Wind,10.3
6,21,Wind,6.3
6,22,Wind,1.7
6,23,Wind,4.6
6,24,Wind,6.3
6,25,Wind,8
6,26,Wind,8
6,27,Wind,10.3
6,28,Wind,11.5
6,29,Wind,14.9
6,30,Wind,8
7,1,Wind,4.1
7,2,Wind,9.2
7,3,Wind,9.2
7,4,Wind,10.9
7,5,Wind,4.6
7,6,Wind,10.9
7,7,Wind,5.1
7,8,Wind,6.3
7,9,Wind,5.7
7,10,Wind,7.4
7,11,Wind,8.6
7,12,Wind,14.3
7,13,Wind,14.9
7,14,Wind,14.9
7,15,Wind,14.3
7,16,Wind,6.9
7,17,Wind,10.3
7,18,Wind,6.3
7,19,Wind,5.1
7,20,Wind,11.5
7,21,Wind,6.9
7,22,Wind,9.7
7,23,Wind,11.5
7,24,Wind,8.6
7,25,Wind,8
7,26,Wind,8.6
7,27,Wind,12
7,28,Wind,7.4
7,29,Wind,7.4
7,30,Wind,7.4
7,31,Wind,9.2
8,1,Wind,6.9
8,2,Wind,13.8
8,3,Wind,7.4
8,4,Wind,6.9
8,5,Wind,7.4
8,6,Wind,4.6
8,7,Wind,4
8,8,Wind,10.3
8,9,Wind,8
8,10,Wind,8.6
8,11,Wind,11.5
8,12,Wind,11.5
8,13,Wind,11.5
8,14,Wind,9.7
8,15,Wind,11.5
8,16,Wind,10.3
8,17,Wind,6.3
8,18,Wind,7.4
8,19,Wind,10.9
8,20,Wind,10.3
8,21,Wind,15.5
8,22,Wind,14.3
8,23,Wind,12.6
8,24,Wind,9.7
8,25,Wind,3.4
8,26,Wind,8
8,27,Wind,5.7
8,28,Wind,9.7
8,29,Wind,2.3
8,30,Wind,6.3
8,31,Wind,6.3
9,1,Wind,6.9
9,2,Wind,5.1
9,3,Wind,2.8
9,4,Wind,4.6
9,5,Wind,7.4
9,6,Wind,15.5
9,7,Wind,10.9
9,8,Wind,10.3
9,9,Wind,10.9
9,10,Wind,9.7
9,11,Wind,14.9
9,12,Wind,15.5
9,13,Wind,6.3
9,14,Wind,10.9
9,15,Wind,11.5
9,16,Wind,6.9
9,17,Wind,13.8
9,18,Wind,10.3
9,19,Wind,10.3
9,20,Wind,8
9,21,Wind,12.6
9,22,Wind,9.2
9,23,Wind,10.3
9,24,Wind,10.3
9,25,Wind,16.6
9,26,Wind,6.9
9,27,Wind,13.2
9,28,Wind,14.3
9,29,Wind,8
9,30,Wind,11.5
5,1,Temp,67
5,2,Temp,72
5,3,Temp,74
5,4,Temp,62
5,5,Temp,56
5,6,Temp,66
5,7,Temp,65
5,8,Temp,59
5,9,Temp,61
5,10,Temp,69
5,11,Temp,74
5,12,Temp,69
5,13,Temp,66
5,14,Temp,68
5,15,Temp,58
5,16,Temp,64
5,17,Temp,66
5,18,Temp,57
5,19,Temp,68
5,20,Temp,62
5,21,Temp,59
5,22,Temp,73
5,23,Temp,61
5,24,Temp,61
5,25,Temp,57
5,26,Temp,58
5,27,Temp,57
5,28,Temp,67
5,29,Temp,81
5,30,Temp,79
5,31,Temp,76
6,1,Temp,78
6,2,Temp,74
6,3,Temp,67
6,4,Temp,84
6,5,Temp,85
6,6,Temp,79
6,7,Temp,82
6,8,Temp,87
6,9,Temp,90
6,10,Temp,87
6,11,Temp,93
6,12,Temp,92
6,13,Temp,82
6,14,Temp,80
6,15,Temp,79
6,16,Temp,77
6,17,Temp,72
6,18,Temp,65
6,19,Temp,73
6,20,Temp,76
6,21,Temp,77
6,22,Temp,76
6,23,Temp,76
6,24,Temp,76
6,25,Temp,75
6,26,Temp,78
6,27,Temp,73
6,28,Temp,80
6,29,Temp,77
6,30,Temp,83
7,1,Temp,84
7,2,Temp,85
7,3,Temp,81
7,4,Temp,84
7,5,Temp,83
7,6,Temp,83
7,7,Temp,88
7,8,Temp,92
7,9,Temp,92
7,10,Temp,89
7,11,Temp,82
7,12,Temp,73
7,13,Temp,81
7,14,Temp,91
7,15,Temp,80
7,16,Temp,81
7,17,Temp,82
7,18,Temp,84
7,19,Temp,87
7,20,Temp,85
7,21,Temp,74
7,22,Temp,81
7,23,Temp,82
7,24,Temp,86
7,25,Temp,85
7,26,Temp,82
7,27,Temp,86
7,28,Temp,88
7,29,Temp,86
7,30,Temp,83
7,31,Temp,81
8,1,Temp,81
8,2,Temp,81
8,3,Temp,82
8,4,Temp,86
8,5,Temp,85
8,6,Temp,87
8,7,Temp,89
8,8,Temp,90
8,9,Temp,90
8,10,Temp,92
8,11,Temp,86
8,12,Temp,86
8,13,Temp,82
8,14,Temp,80
8,15,Temp,79
8,16,Temp,77
8,17,Temp,79
8,18,Temp,76
8,19,Temp,78
8,20,Temp,78
8,21,Temp,77
8,22,Temp,72
8,23,Temp,75
8,24,Temp,79
8,25,Temp,81
8,26,Temp,86
8,27,Temp,88
8,28,Temp,97
8,29,Temp,94
8,30,Temp,96
8,31,Temp,94
9,1,Temp,91
9,2,Temp,92
9,3,Temp,93
9,4,Temp,93
9,5,Temp,87
9,6,Temp,84
9,7,Temp,80
9,8,Temp,78
9,9,Temp,75
9,10,Temp,73
9,11,Temp,81
9,12,Temp,76
9,13,Temp,77
9,14,Temp,71
9,15,Temp,71
9,16,Temp,78
9,17,Temp,67
9,18,Temp,76
9,19,Temp,68
9,20,Temp,82
9,21,Temp,64
9,22,Temp,71
9,23,Temp,81
9,24,Temp,69
9,25,Temp,63
9,26,Temp,70
9,27,Temp,77
9,28,Temp,75
9,29,Temp,76
9,30,Temp,68
5,1,Ozone,41
5,2,Ozone,36
5,3,Ozone,12
5,4,Ozone,18
5,5,Ozone,NaN
5,6,Ozone,28
5,7,Ozone,23
5,8,Ozone,19
5,9,Ozone,8
5,10,Ozone,NaN
5,11,Ozone,7
5,12,Ozone,16
5,13,Ozone,11
5,14,Ozone,14
5,15,Ozone,18
5,16,Ozone,14
5,17,Ozone,34
5,18,Ozone,6
5,19,Ozone,30
5,20,Ozone,11
5,21,Ozone,1
5,22,Ozone,11
5,23,Ozone,4
5,24,Ozone,32
5,25,Ozone,NaN
5,26,Ozone,NaN
5,27,Ozone,NaN
5,28,Ozone,23
5,29,Ozone,45
5,30,Ozone,115
5,31,Ozone,37
6,1,Ozone,NaN
6,2,Ozone,NaN
6,3,Ozone,NaN
6,4,Ozone,NaN
6,5,Ozone,NaN
6,6,Ozone,NaN
6,7,Ozone,29
6,8,Ozone,NaN
6,9,Ozone,71
6,10,Ozone,39
6,11,Ozone,NaN
6,12,Ozone,NaN
6,13,Ozone,23
6,14,Ozone,NaN
6,15,Ozone,NaN
6,16,Ozone,21
6,17,Ozone,37
6,18,Ozone,20
6,19,Ozone,12
6,20,Ozone,13
6,21,Ozone,NaN
6,22,Ozone,NaN
6,23,Ozone,NaN
6,24,Ozone,NaN
6,25,Ozone,NaN
6,26,Ozone,NaN
6,27,Ozone,NaN
6,28,Ozone,NaN
6,29,Ozone,NaN
6,30,Ozone,NaN
7,1,Ozone,135
7,2,Ozone,49
7,3,Ozone,32
7,4,Ozone,NaN
7,5,Ozone,64
7,6,Ozone,40
7,7,Ozone,77
7,8,Ozone,97
7,9,Ozone,97
7,10,Ozone,85
7,11,Ozone,NaN
7,12,Ozone,10
7,13,Ozone,27
7,14,Ozone,NaN
7,15,Ozone,7
7,16,Ozone,48
7,17,Ozone,35
7,18,Ozone,61
7,19,Ozone,79
7,20,Ozone,63
7,21,Ozone,16
7,22,Ozone,NaN
7,23,Ozone,NaN
7,24,Ozone,80
7,25,Ozone,108
7,26,Ozone,20
7,27,Ozone,52
7,28,Ozone,82
7,29,Ozone,50
7,30,Ozone,64
7,31,Ozone,59
8,1,Ozone,39
8,2,Ozone,9
8,3,Ozone,16
8,4,Ozone,78
8,5,Ozone,35
8,6,Ozone,66
8,7,Ozone,122
8,8,Ozone,89
8,9,Ozone,110
8,10,Ozone,NaN
8,11,Ozone,NaN
8,12,Ozone,44
8,13,Ozone,28
8,14,Ozone,65
8,15,Ozone,NaN
8,16,Ozone,22
8,17,Ozone,59
8,18,Ozone,23
8,19,Ozone,31
8,20,Ozone,44
8,21,Ozone,21
8,22,Ozone,9
8,23,Ozone,NaN
8,24,Ozone,45
8,25,Ozone,168
8,26,Ozone,73
8,27,Ozone,NaN
8,28,Ozone,76
8,29,Ozone,118
8,30,Ozone,84
8,31,Ozone,85
9,1,Ozone,96
9,2,Ozone,78
9,3,Ozone,73
9,4,Ozone,91
9,5,Ozone,47
9,6,Ozone,32
9,7,Ozone,20
9,8,Ozone,23
9,9,Ozone,21
9,10,Ozone,24
9,11,Ozone,44
9,12,Ozone,21
9,13,Ozone,28
9,14,Ozone,9
9,15,Ozone,13
9,16,Ozone,46
9,17,Ozone,18
9,18,Ozone,13
9,19,Ozone,24
9,20,Ozone,16
9,21,Ozone,13
9,22,Ozone,23
9,23,Ozone,36
9,24,Ozone,7
9,25,Ozone,14
9,26,Ozone,30
9,27,Ozone,NaN
9,28,Ozone,14
9,29,Ozone,18
9,30,Ozone,20
5,1,Solar.R,190
5,2,Solar.R,118
5,3,Solar.R,149
5,4,Solar.R,313
5,5,Solar.R,NaN
5,6,Solar.R,NaN
5,7,Solar.R,299
5,8,Solar.R,99
5,9,Solar.R,19
5,10,Solar.R,194
5,11,Solar.R,NaN
5,12,Solar.R,256
5,13,Solar.R,290
5,14,Solar.R,274
5,15,Solar.R,65
5,16,Solar.R,334
5,17,Solar.R,307
5,18,Solar.R,78
5,19,Solar.R,322
5,20,Solar.R,44
5,21,Solar.R,8
5,22,Solar.R,320
5,23,Solar.R,25
5,24,Solar.R,92
5,25,Solar.R,66
5,26,Solar.R,266
5,27,Solar.R,NaN
5,28,Solar.R,13
5,29,Solar.R,252
5,30,Solar.R,223
5,31,Solar.R,279
6,1,Solar.R,286
6,2,Solar.R,287
6,3,Solar.R,242
6,4,Solar.R,186
6,5,Solar.R,220
6,6,Solar.R,264
6,7,Solar.R,127
6,8,Solar.R,273
6,9,Solar.R,291
6,10,Solar.R,323
6,11,Solar.R,259
6,12,Solar.R,250
6,13,Solar.R,148
6,14,Solar.R,332
6,15,Solar.R,322
6,16,Solar.R,191
6,17,Solar.R,284
6,18,Solar.R,37
6,19,Solar.R,120
6,20,Solar.R,137
6,21,Solar.R,150
6,22,Solar.R,59
6,23,Solar.R,91
6,24,Solar.R,250
6,25,Solar.R,135
6,26,Solar.R,127
6,27,Solar.R,47
6,28,Solar.R,98
6,29,Solar.R,31
6,30,Solar.R,138
7,1,Solar.R,269
7,2,Solar.R,248
7,3,Solar.R,236
7,4,Solar.R,101
7,5,Solar.R,175
7,6,Solar.R,314
7,7,Solar.R,276
7,8,Solar.R,267
7,9,Solar.R,272
7,10,Solar.R,175
7,11,Solar.R,139
7,12,Solar.R,264
7,13,Solar.R,175
7,14,Solar.R,291
7,15,Solar.R,48
7,16,Solar.R,260
7,17,Solar.R,274
7,18,Solar.R,285
7,19,Solar.R,187
7,20,Solar.R,220
7,21,Solar.R,7
7,22,Solar.R,258
7,23,Solar.R,295
7,24,Solar.R,294
7,25,Solar.R,223
7,26,Solar.R,81
7,27,Solar.R,82
7,28,Solar.R,213
7,29,Solar.R,275
7,30,Solar.R,253
7,31,Solar.R,254
8,1,Solar.R,83
8,2,Solar.R,24
8,3,Solar.R,77
8,4,Solar.R,NaN
8,5,Solar.R,NaN
8,6,Solar.R,NaN
8,7,Solar.R,255
8,8,Solar.R,229
8,9,Solar.R,207
8,10,Solar.R,222
8,11,Solar.R,137
8,12,Solar.R,192
8,13,Solar.R,273
8,14,Solar.R,157
8,15,Solar.R,64
8,16,Solar.R,71
8,17,Solar.R,51
8,18,Solar.R,115
8,19,Solar.R,244
8,20,Solar.R,190
8,21,Solar.R,259
8,22,Solar.R,36
8,23,Solar.R,255
8,24,Solar.R,212
8,25,Solar.R,238
8,26,Solar.R,215
8,27,Solar.R,153
8,28,Solar.R,203
8,29,Solar.R,225
8,30,Solar.R,237
8,31,Solar.R,188
9,1,Solar.R,167
9,2,Solar.R,197
9,3,Solar.R,183
9,4,Solar.R,189
9,5,Solar.R,95
9,6,Solar.R,92
9,7,Solar.R,252
9,8,Solar.R,220
9,9,Solar.R,230
9,10,Solar.R,259
9,11,Solar.R,236
9,12,Solar.R,259
9,13,Solar.R,238
9,14,Solar.R,24
9,15,Solar.R,112
9,16,Solar.R,237
9,17,Solar.R,224
9,18,Solar.R,27
9,19,Solar.R,238
9,20,Solar.R,201
9,21,Solar.R,238
9,22,Solar.R,14
9,23,Solar.R,139
9,24,Solar.R,49
9,25,Solar.R,20
9,26,Solar.R,193
9,27,Solar.R,145
9,28,Solar.R,191
9,29,Solar.R,131
9,30,Solar.R,223
5,1,Wind,7.4
5,2,Wind,8
5,3,Wind,12.6
5,4,Wind,11.5
5,5,Wind,14.3
5,6,Wind,14.9
5,7,Wind,8.6
5,8,Wind,13.8
5,9,Wind,20.1
5,10,Wind,8.6
5,11,Wind,6.9
5,12,Wind,9.7
5,13,Wind,9.2
5,14,Wind,10.9
5,15,Wind,13.2
5,16,Wind,11.5
5,17,Wind,12
5,18,Wind,18.4
5,19,Wind,11.5
5,20,Wind,9.7
5,21,Wind,9.7
5,22,Wind,16.6
5,23,Wind,9.7
5,24,Wind,12
5,25,Wind,16.6
5,26,Wind,14.9
5,27,Wind,8
5,28,Wind,12
5,29,Wind,14.9
5,30,Wind,5.7
5,31,Wind,7.4
6,1,Wind,8.6
6,2,Wind,9.7
6,3,Wind,16.1
6,4,Wind,9.2
6,5,Wind,8.6
6,6,Wind,14.3
6,7,Wind,9.7
6,8,Wind,6.9
6,9,Wind,13.8
6,10,Wind,11.5
6,11,Wind,10.9
6,12,Wind,9.2
6,13,Wind,8
6,14,Wind,13.8
6,15,Wind,11.5
6,16,Wind,14.9
6,17,Wind,20.7
6,18,Wind,9.2
6,19,Wind,11.5
6,20,Wind,10.3
6,21,Wind,6.3
6,22,Wind,1.7
6,23,Wind,4.6
6,24,Wind,6.3
6,25,Wind,8
6,26,Wind,8
6,27,Wind,10.3
6,28,Wind,11.5
6,29,Wind,14.9
6,30,Wind,8
7,1,Wind,4.1
7,2,Wind,9.2
7,3,Wind,9.2
7,4,Wind,10.9
7,5,Wind,4.6
7,6,Wind,10.9
7,7,Wind,5.1
7,8,Wind,6.3
7,9,Wind,5.7
7,10,Wind,7.4
7,11,Wind,8.6
7,12,Wind,14.3
7,13,Wind,14.9
7,14,Wind,14.9
7,15,Wind,14.3
7,16,Wind,6.9
7,17,Wind,10.3
7,18,Wind,6.3
7,19,Wind,5.1
7,20,Wind,11.5
7,21,Wind,6.9
7,22,Wind,9.7
7,23,Wind,11.5
7,24,Wind,8.6
7,25,Wind,8
7,26,Wind,8.6
7,27,Wind,12
7,28,Wind,7.4
7,29,Wind,7.4
7,30,Wind,7.4
7,31,Wind,9.2
8,1,Wind,6.9
8,2,Wind,13.8
8,3,Wind,7.4
8,4,Wind,6.9
8,5,Wind,7.4
8,6,Wind,4.6
8,7,Wind,4
8,8,Wind,10.3
8,9,Wind,8
8,10,Wind,8.6
8,11,Wind,11.5
8,12,Wind,11.5
8,13,Wind,11.5
8,14,Wind,9.7
8,15,Wind,11.5
8,16,Wind,10.3
8,17,Wind,6.3
8,18,Wind,7.4
8,19,Wind,10.9
8,20,Wind,10.3
8,21,Wind,15.5
8,22,Wind,14.3
8,23,Wind,12.6
8,24,Wind,9.7
8,25,Wind,3.4
8,26,Wind,8
8,27,Wind,5.7
8,28,Wind,9.7
8,29,Wind,2.3
8,30,Wind,6.3
8,31,Wind,6.3
9,1,Wind,6.9
9,2,Wind,5.1
9,3,Wind,2.8
9,4,Wind,4.6
9,5,Wind,7.4
9,6,Wind,15.5
9,7,Wind,10.9
9,8,Wind,10.3
9,9,Wind,10.9
9,10,Wind,9.7
9,11,Wind,14.9
9,12,Wind,15.5
9,13,Wind,6.3
9,14,Wind,10.9
9,15,Wind,11.5
9,16,Wind,6.9
9,17,Wind,13.8
9,18,Wind,10.3
9,19,Wind,10.3
9,20,Wind,8
9,21,Wind,12.6
9,22,Wind,9.2
9,23,Wind,10.3
9,24,Wind,10.3
9,25,Wind,16.6
9,26,Wind,6.9
9,27,Wind,13.2
9,28,Wind,14.3
9,29,Wind,8
9,30,Wind,11.5
5,1,Temp,67
5,2,Temp,72
5,3,Temp,74
5,4,Temp,62
5,5,Temp,56
5,6,Temp,66
5,7,Temp,65
5,8,Temp,59
5,9,Temp,61
5,10,Temp,69
5,11,Temp,74
5,12,Temp,69
5,13,Temp,66
5,14,Temp,68
5,15,Temp,58
5,16,Temp,64
5,17,Temp,66
5,18,Temp,57
5,19,Temp,68
5,20,Temp,62
5,21,Temp,59
5,22,Temp,73
5,23,Temp,61
5,24,Temp,61
5,25,Temp,57
5,26,Temp,58
5,27,Temp,57
5,28,Temp,67
5,29,Temp,81
5,30,Temp,79
5,31,Temp,76
6,1,Temp,78
6,2,Temp,74
6,3,Temp,67
6,4,Temp,84
6,5,Temp,85
6,6,Temp,79
6,7,Temp,82
6,8,Temp,87
6,9,Temp,90
6,10,Temp,87
6,11,Temp,93
6,12,Temp,92
6,13,Temp,82
6,14,Temp,80
6,15,Temp,79
6,16,Temp,77
6,17,Temp,72
6,18,Temp,65
6,19,Temp,73
6,20,Temp,76
6,21,Temp,77
6,22,Temp,76
6,23,Temp,76
6,24,Temp,76
6,25,Temp,75
6,26,Temp,78
6,27,Temp,73
6,28,Temp,80
6,29,Temp,77
6,30,Temp,83
7,1,Temp,84
7,2,Temp,85
7,3,Temp,81
7,4,Temp,84
7,5,Temp,83
7,6,Temp,83
7,7,Temp,88
7,8,Temp,92
7,9,Temp,92
7,10,Temp,89
7,11,Temp,82
7,12,Temp,73
7,13,Temp,81
7,14,Temp,91
7,15,Temp,80
7,16,Temp,81
7,17,Temp,82
7,18,Temp,84
7,19,Temp,87
7,20,Temp,85
7,21,Temp,74
7,22,Temp,81
7,23,Temp,82
7,24,Temp,86
7,25,Temp,85
7,26,Temp,82
7,27,Temp,86
7,28,Temp,88
7,29,Temp,86
7,30,Temp,83
7,31,Temp,81
8,1,Temp,81
8,2,Temp,81
8,3,Temp,82
8,4,Temp,86
8,5,Temp,85
8,6,Temp,87
8,7,Temp,89
8,8,Temp,90
8,9,Temp,90
8,10,Temp,92
8,11,Temp,86
8,12,Temp,86
8,13,Temp,82
8,14,Temp,80
8,15,Temp,79
8,16,Temp,77
8,17,Temp,79
8,18,Temp,76
8,19,Temp,78
8,20,Temp,78
8,21,Temp,77
8,22,Temp,72
8,23,Temp,75
8,24,Temp,79
8,25,Temp,81
8,26,Temp,86
8,27,Temp,88
8,28,Temp,97
8,29,Temp,94
8,30,Temp,96
8,31,Temp,94
9,1,Temp,91
9,2,Temp,92
9,3,Temp,93
9,4,Temp,93
9,5,Temp,87
9,6,Temp,84
9,7,Temp,80
9,8,Temp,78
9,9,Temp,75
9,10,Temp,73
9,11,Temp,81
9,12,Temp,76
9,13,Temp,77
9,14,Temp,71
9,15,Temp,71
9,16,Temp,78
9,17,Temp,67
9,18,Temp,76
9,19,Temp,68
9,20,Temp,82
9,21,Temp,64
9,22,Temp,71
9,23,Temp,81
9,24,Temp,69
9,25,Temp,63
9,26,Temp,70
9,27,Temp,77
9,28,Temp,75
9,29,Temp,76
9,30,Temp,68
