Date,Day,Cases_Guinea,Cases_Liberia,Cases_SierraLeone,Cases_Nigeria,Cases_Senegal,Cases_UnitedStates,Cases_Spain,Cases_Mali,Deaths_Guinea,Deaths_Liberia,Deaths_SierraLeone,Deaths_Nigeria,Deaths_Senegal,Deaths_UnitedStates,Deaths_Spain,Deaths_Mali
10/7/2014,199,1350,4076,NaN,NaN,NaN,NaN,NaN,NaN,778,2316,NaN,NaN,NaN,NaN,NaN,NaN
10/5/2014,197,1298,NaN,2789,20,1,1,NaN,NaN,768,NaN,879,8,0,0,NaN,NaN
10/4/2014,196,NaN,3924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2210,NaN,NaN,NaN,NaN,NaN,NaN
10/1/2014,193,1199,3834,2437,20,1,1,NaN,NaN,739,2069,623,8,0,0,NaN,NaN
9/28/2014,190,1157,3696,2304,20,1,NaN,NaN,NaN,710,1998,622,8,0,NaN,NaN,NaN
9/23/2014,185,1074,3458,2021,20,1,NaN,NaN,NaN,648,1830,605,8,0,NaN,NaN,NaN
9/21/2014,183,1022,3280,1940,20,1,NaN,NaN,NaN,635,1677,597,8,0,NaN,NaN,NaN
9/20/2014,182,NaN,NaN,1813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,593,NaN,NaN,NaN,NaN,NaN
9/19/2014,181,1008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,632,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9/17/2014,179,NaN,3022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1578,NaN,NaN,NaN,NaN,NaN,NaN
9/14/2014,176,942,2710,1673,NaN,NaN,NaN,NaN,NaN,601,1459,562,NaN,NaN,NaN,NaN,NaN
9/13/2014,175,936,NaN,1620,21,1,NaN,NaN,NaN,595,1296,562,8,0,NaN,NaN,NaN
9/10/2014,172,899,NaN,1478,21,1,NaN,NaN,NaN,568,NaN,536,8,NaN,NaN,NaN,NaN
9/9/2014,171,NaN,2407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9/7/2014,169,861,2081,1424,21,3,NaN,NaN,NaN,557,1137,524,8,0,NaN,NaN,NaN
9/5/2014,167,812,1871,1261,22,1,NaN,NaN,NaN,517,1089,491,8,NaN,NaN,NaN,NaN
8/31/2014,162,771,1698,1216,21,1,NaN,NaN,NaN,494,871,476,7,NaN,NaN,NaN,NaN
8/26/2014,157,648,1378,1026,17,NaN,NaN,NaN,NaN,430,694,422,6,NaN,NaN,NaN,NaN
8/20/2014,151,607,1082,910,16,NaN,NaN,NaN,NaN,406,624,392,5,NaN,NaN,NaN,NaN
8/18/2014,149,579,972,907,15,NaN,NaN,NaN,NaN,396,576,374,4,NaN,NaN,NaN,NaN
8/16/2014,147,543,834,848,15,NaN,NaN,NaN,NaN,394,466,365,4,NaN,NaN,NaN,NaN
8/13/2014,144,519,786,810,12,NaN,NaN,NaN,NaN,380,413,348,4,NaN,NaN,NaN,NaN
8/11/2014,142,510,670,783,12,NaN,NaN,NaN,NaN,377,355,334,3,NaN,NaN,NaN,NaN
8/9/2014,140,506,599,730,13,NaN,NaN,NaN,NaN,373,323,315,2,NaN,NaN,NaN,NaN
8/6/2014,137,495,554,717,13,NaN,NaN,NaN,NaN,367,294,298,2,NaN,NaN,NaN,NaN
8/4/2014,135,495,516,691,9,NaN,NaN,NaN,NaN,363,282,286,1,NaN,NaN,NaN,NaN
8/1/2014,132,485,468,646,4,NaN,NaN,NaN,NaN,358,255,273,1,NaN,NaN,NaN,NaN
7/30/2014,129,472,391,574,3,NaN,NaN,NaN,NaN,346,227,252,1,NaN,NaN,NaN,NaN
7/27/2014,126,460,329,533,1,NaN,NaN,NaN,NaN,339,156,233,1,NaN,NaN,NaN,NaN
7/23/2014,123,427,249,525,0,NaN,NaN,NaN,NaN,319,129,224,0,NaN,NaN,NaN,NaN
7/20/2014,120,415,224,454,NaN,NaN,NaN,NaN,NaN,314,127,219,NaN,NaN,NaN,NaN,NaN
7/17/2014,117,410,196,442,NaN,NaN,NaN,NaN,NaN,310,116,206,NaN,NaN,NaN,NaN,NaN
7/14/2014,114,411,174,397,NaN,NaN,NaN,NaN,NaN,310,106,197,NaN,NaN,NaN,NaN,NaN
7/12/2014,112,406,172,386,NaN,NaN,NaN,NaN,NaN,304,105,194,NaN,NaN,NaN,NaN,NaN
7/8/2014,108,409,142,337,NaN,NaN,NaN,NaN,NaN,309,88,142,NaN,NaN,NaN,NaN,NaN
7/6/2014,106,408,131,305,NaN,NaN,NaN,NaN,NaN,307,84,127,NaN,NaN,NaN,NaN,NaN
7/2/2014,102,412,115,252,NaN,NaN,NaN,NaN,NaN,305,75,101,NaN,NaN,NaN,NaN,NaN
6/30/2014,100,413,107,239,NaN,NaN,NaN,NaN,NaN,303,65,99,NaN,NaN,NaN,NaN,NaN
6/22/2014,92,NaN,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34,NaN,NaN,NaN,NaN,NaN,NaN
6/20/2014,90,390,NaN,158,NaN,NaN,NaN,NaN,NaN,270,NaN,34,NaN,NaN,NaN,NaN,NaN
6/19/2014,89,NaN,41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,NaN,NaN,NaN,NaN,NaN
6/18/2014,88,390,NaN,136,NaN,NaN,NaN,NaN,NaN,267,NaN,28,NaN,NaN,NaN,NaN,NaN
6/17/2014,87,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49,NaN,NaN,NaN,NaN,NaN
6/16/2014,86,398,33,NaN,NaN,NaN,NaN,NaN,NaN,264,24,NaN,NaN,NaN,NaN,NaN,NaN
6/10/2014,80,351,13,89,NaN,NaN,NaN,NaN,NaN,226,24,7,NaN,NaN,NaN,NaN,NaN
6/5/2014,75,NaN,13,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN
6/3/2014,73,344,13,NaN,NaN,NaN,NaN,NaN,NaN,215,12,6,NaN,NaN,NaN,NaN,NaN
6/1/2014,71,328,13,79,NaN,NaN,NaN,NaN,NaN,208,12,6,NaN,NaN,NaN,NaN,NaN
5/28/2014,67,291,13,50,NaN,NaN,NaN,NaN,NaN,193,12,6,NaN,NaN,NaN,NaN,NaN
5/27/2014,66,281,12,16,NaN,NaN,NaN,NaN,NaN,186,11,5,NaN,NaN,NaN,NaN,NaN
5/23/2014,62,258,12,0,NaN,NaN,NaN,NaN,NaN,174,11,0,NaN,NaN,NaN,NaN,NaN
5/12/2014,51,248,12,0,NaN,NaN,NaN,NaN,NaN,171,11,0,NaN,NaN,NaN,NaN,NaN
5/10/2014,49,233,12,0,NaN,NaN,NaN,NaN,NaN,157,11,0,NaN,NaN,NaN,NaN,NaN
5/7/2014,46,236,13,0,NaN,NaN,NaN,NaN,NaN,158,11,0,NaN,NaN,NaN,NaN,NaN
5/5/2014,44,235,13,0,NaN,NaN,NaN,NaN,NaN,157,11,0,NaN,NaN,NaN,NaN,NaN
5/3/2014,42,231,13,0,NaN,NaN,NaN,NaN,NaN,155,11,0,NaN,NaN,NaN,NaN,NaN
5/1/2014,40,226,13,0,NaN,NaN,NaN,NaN,NaN,149,11,0,NaN,NaN,NaN,NaN,NaN
4/26/2014,35,224,NaN,0,NaN,NaN,NaN,NaN,NaN,143,NaN,0,NaN,NaN,NaN,NaN,NaN
4/24/2014,33,NaN,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
4/23/2014,32,218,NaN,0,NaN,NaN,NaN,NaN,NaN,141,NaN,0,NaN,NaN,NaN,NaN,NaN
4/22/2014,31,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
4/21/2014,30,NaN,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11,NaN,NaN,NaN,NaN,NaN,NaN
4/20/2014,29,208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,136,6,NaN,NaN,NaN,NaN,NaN,NaN
4/17/2014,26,203,27,NaN,NaN,NaN,NaN,NaN,NaN,129,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4/16/2014,25,197,27,NaN,NaN,NaN,NaN,NaN,NaN,122,13,NaN,NaN,NaN,NaN,NaN,NaN
4/15/2014,24,NaN,NaN,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4/14/2014,23,168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,108,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4/11/2014,20,159,26,2,NaN,NaN,NaN,NaN,NaN,106,13,2,NaN,NaN,NaN,NaN,NaN
4/9/2014,18,158,25,2,NaN,NaN,NaN,NaN,NaN,101,12,2,NaN,NaN,NaN,NaN,NaN
4/7/2014,16,151,21,2,NaN,NaN,NaN,NaN,NaN,95,10,2,NaN,NaN,NaN,NaN,NaN
4/4/2014,13,143,18,2,NaN,NaN,NaN,NaN,NaN,86,7,2,NaN,NaN,NaN,NaN,NaN
4/1/2014,10,127,8,2,NaN,NaN,NaN,NaN,NaN,83,5,2,NaN,NaN,NaN,NaN,NaN
3/31/2014,9,122,8,2,NaN,NaN,NaN,NaN,NaN,80,4,2,NaN,NaN,NaN,NaN,NaN
3/29/2014,7,112,7,NaN,NaN,NaN,NaN,NaN,NaN,70,2,NaN,NaN,NaN,NaN,NaN,NaN
3/28/2014,6,112,3,2,NaN,NaN,NaN,NaN,NaN,70,3,2,NaN,NaN,NaN,NaN,NaN
3/27/2014,5,103,8,6,NaN,NaN,NaN,NaN,NaN,66,6,5,NaN,NaN,NaN,NaN,NaN
3/26/2014,4,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3/25/2014,3,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3/24/2014,2,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3/22/2014,0,49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29,NaN,NaN,NaN,NaN,NaN,NaN,NaN
